1,1,HP,Retreat,Automatic Reload,174,10,On Stream,Automatic Reload,NOTHOST,Miyagi,28,36,6,1,,
1,1,HP,Retreat,eLevate,219,http://gyazo.com/33849b74c912655a6af099c62d0ecc29,,Automatic Reload,HOST,Burnsoff,27,35,12,1,,
,,,,,,,,Automatic Reload,NOTHOST,Tipsy,30,31,10,3,,
1,1,HP,Retreat,Automatic Reload,,,,Automatic Reload,NOTHOST,Blfire,24,36,7,1,,
1,1,HP,Retreat,eLevate,,,,,,,,,,,,
,,,,,,,,eLevate,NOTHOST,Killa,36,29,9,8,,
1,1,HP,Retreat,Automatic Reload,174,FALSE,L,eLevate,NOTHOST,Mirx,32,26,1,4,,
1,1,HP,Retreat,eLevate,219,TRUE,W,eLevate,NOTHOST,Spacely,30,25,16,7,,
,,,,,,,,eLevate,NOTHOST,Studyy,39,30,8,8,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,2,SnD,Solar,Automatic Reload,6,7.44,,Automatic Reload,NOTHOST,Miyagi,11,5,,1,3,1
,,,,,,http://gyazo.com/e261f5221aa695caa98a22118f9f9348,,Automatic Reload,NOTHOST,Burnsoff,5,6,1,,0,1
,,,,,,,,Automatic Reload,NOTHOST,Tipsy,8,7,,,1,3
1,2,SnD,Solar,eLevate,3,,,Automatic Reload,NOTHOST,Blfire,4,6,,,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,eLevate,NOTHOST,Killa,5,8,1,,4,0
1,2,SnD,Solar,Automatic Reload,6,TRUE,W,eLevate,NOTHOST,Mirx,7,6,,,0,2
1,2,SnD,Solar,eLevate,3,FALSE,L,eLevate,HOST,Spacely,8,7,,,1,1
,,,,,,,,eLevate,NOTHOST,Studyy,4,7,,,1,1
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,3,CTF,Biolab,Automatic Reload,5,10,,Automatic Reload,NOTHOST,Miyagi,17,20,,,2,
,,,,,,http://gyazo.com/d160d8323ed923ad21080e014c8ae30c,,Automatic Reload,NOTHOST,Burnsoff,27,18,1,1,1,
,,,,,,,,Automatic Reload,HOST,Tipsy,21,22,4,1,3,
1,3,CTF,Biolab,eLevate,2,,,Automatic Reload,NOTHOST,Blfire,20,21,0,1,,
,,,,,,,,,,,,,,,,
,,,,,,,,eLevate,NOTHOST,Killa,30,19,1,1,1,
1,3,CTF,Biolab,Automatic Reload,5,TRUE,W,eLevate,NOTHOST,Mirx,15,24,,1,2,
1,3,CTF,Biolab,eLevate,2,FALSE,L,eLevate,NOTHOST,Spacely,19,22,1,,,
,,,,,,,,eLevate,NOTHOST,Studyy,17,21,,1,2,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,4,Uplink,Detroit,Automatic Reload,2,10,,Automatic Reload,NOTHOST,Miyagi,15,24,,,,
1,4,Uplink,Detroit,eLevate,9,http://gyazo.com/123cc585974fecb9af3e8f442043bee0,,Automatic Reload,NOTHOST,Burnsoff,28,23,2,,,
,,,,,,,,Automatic Reload,NOTHOST,Tipsy,17,27,,,,
1,4,Uplink,Detroit,Automatic Reload,,,,Automatic Reload,NOTHOST,Blfire,21,29,,,,
1,4,Uplink,Detroit,eLevate,,,,,,,,,,,,
,,,,,,,,eLevate,NOTHOST,Killa,28,19,1,,,
1,4,Uplink,Detroit,Automatic Reload,2,FALSE,L,eLevate,NOTHOST,Mirx,27,19,,,,
1,4,Uplink,Detroit,eLevate,9,TRUE,W,eLevate,HOST,Spacely,19,23,5,,,
,,,,,,,,eLevate,NOTHOST,Studyy,29,20,3,,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,5,SnD,Riot,Automatic Reload,6,6.28,,Automatic Reload,NOTHOST,Miyagi,3,2,,,1,0
,,,,,,http://gyazo.com/dcbe0557cb630b7fe77e48dcdee9b6fd,,Automatic Reload,NOTHOST,Burnsoff,6,4,1,,,1
,,,,,,,,Automatic Reload,NOTHOST,Tipsy,5,3,,,1,2
1,5,SnD,Riot,eLevate,0,,,Automatic Reload,NOTHOST,Blfire,9,2,,,,2
,,,,,,,,,,,,,,,,
,,,,,,,,eLevate,NOTHOST,Killa,2,6,,,1,1
1,5,SnD,Riot,Automatic Reload,6,TRUE,W,eLevate,NOTHOST,Mirx,2,6,,,1,
1,5,SnD,Riot,eLevate,0,FALSE,L,eLevate,HOST,Spacely,2,6,,,2,
,,,,,,,,eLevate,NOTHOST,Studyy,5,5,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,1,HP,Solar,EnVyUs,146,9.49,On Stream,EnVyUs,NOTHOST,Merk,25,35,7,2,,
1,1,HP,Solar,OpTic Gaming,250,http://gyazo.com/d2e5b0f9670013f9ceab4a50080f0dce,,EnVyUs,NOTHOST,Nameless,21,33,8,2,,
,,,,,,,,EnVyUs,NOTHOST,Jkap,33,32,4,2,,
1,1,HP,Solar,EnVyUs,,,,EnVyUs,NOTHOST,Clayster,35,33,7,2,,
1,1,HP,Solar,OpTic Gaming,,,,,,,,,,,,
,,,,,,,,OpTic Gaming,NOTHOST,Nadeshot,24,33,9,7,,
1,1,HP,Solar,EnVyUs,146,FALSE,L,OpTic Gaming,HOST,Formal,31,28,5,5,,
1,1,HP,Solar,OpTic Gaming,250,TRUE,W,OpTic Gaming,NOTHOST,Scump,42,21,6,3,,
,,,,,,,,OpTic Gaming,NOTHOST,Crimsix,34,32,5,0,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,2,SnD,Detroit,EnVyUs,5,8.39,,EnVyUs,NOTHOST,Merk,6,11,3,,1,2
,,,,,,http://gyazo.com/860c11fa37b3e49d74f2609c077c3f16,,EnVyUs,HOST,Nameless,5,8,,,1,0
,,,,,,,,EnVyUs,NOTHOST,Jkap,13,7,,,4,3
1,2,SnD,Detroit,OpTic Gaming,6,,,EnVyUs,NOTHOST,Clayster,7,9,,,2,0
,,,,,,,,,,,,,,,,
,,,,,,,,OpTic Gaming,NOTHOST,Nadeshot,7,8,1,1,2,0
1,2,SnD,Detroit,EnVyUs,5,FALSE,L,OpTic Gaming,NOTHOST,Formal,10,10,,,0,2
1,2,SnD,Detroit,OpTic Gaming,6,TRUE,W,OpTic Gaming,NOTHOST,Scump,6,7,,,1,2
,,,,,,,,OpTic Gaming,NOTHOST,Crimsix,12,6,,,2,2
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,3,Uplink,Biolab,EnVyUs,6,10,,EnVyUs,NOTHOST,Merk,20,25,,,,
,,,,,,http://gyazo.com/a5b434c68fa1a0a92f760c9892f828c1,,EnVyUs,HOST,Nameless,20,24,1,,,
,,,,,,,,EnVyUs,NOTHOST,Jkap,25,22,2,,,
1,3,Uplink,Biolab,OpTic Gaming,8,,,EnVyUs,NOTHOST,Clayster,29,28,3,,,
,,,,,,,,,,,,,,,,
,,,,,,,,OpTic Gaming,NOTHOST,Nadeshot,17,22,2,,,
1,3,Uplink,Biolab,EnVyUs,6,FALSE,L,OpTic Gaming,NOTHOST,Formal,22,24,,,,
1,3,Uplink,Biolab,OpTic Gaming,8,TRUE,W,OpTic Gaming,NOTHOST,Scump,31,23,5,,,
,,,,,,,,OpTic Gaming,NOTHOST,Crimsix,27,28,1,,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
0,0,0,0,,,,,0,NOTHOST,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
0,0,0,0,0,,,,0,NOTHOST,,,,,,,
0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
0,0,0,0,0,0,0,,0,NOTHOST,,,,,,,
0,0,0,0,0,0,0,,0,NOTHOST,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
0,0,0,0,,,,,0,NOTHOST,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
0,0,0,0,0,0,0,,0,NOTHOST,,,,,,,
0,0,0,0,0,0,0,,0,NOTHOST,,,,,,,
,,,,,,,,0,NOTHOST,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,1,HP,Detroit,Team Kaliber,204,10,On Stream,Team Kaliber,NOTHOST,Sharp,33,34,5,0,,
1,1,HP,Detroit,Aware Gaming,231,http://gyazo.com/823de9b1c00376bb0d3a0b03713c6d03,,Team Kaliber,NOTHOST,Goonjar,28,33,10,3,,
,,,,,,,,Team Kaliber,NOTHOST,Theory,28,37,10,4,,
1,1,HP,Detroit,Team Kaliber,,,,Team Kaliber,NOTHOST,Loony,31,35,3,3,,
1,1,HP,Detroit,Aware Gaming,,,,,,,,,,,,
,,,,,,,,Aware Gaming,NOTHOST,Sender,35,34,5,1,,
1,1,HP,Detroit,Team Kaliber,204,FALSE,L,Aware Gaming,HOST,happy,40,24,5,1,,
1,1,HP,Detroit,Aware Gaming,231,TRUE,W,Aware Gaming,NOTHOST,Lawless,32,29,9,2,,
,,,,,,,,Aware Gaming,NOTHOST,Accuracy,30,35,7,1,,
,,,,,,,,,,,,,,,,
,,,,,,,On Stream,,,,,,,,,
1,2,SnD,Riot,Team Kaliber,2,8.26,,Team Kaliber,HOST,Sharp,9,6,,,2,2
,,,,,,http://gyazo.com/f90978887c009abcc1107b56c3811c8e,,Team Kaliber,NOTHOST,Goonjar,4,6,,,1,1
,,,,,,,,Team Kaliber,NOTHOST,Theory,6,7,,,1,1
1,2,SnD,Riot,Aware Gaming,6,,,Team Kaliber,NOTHOST,Loony,2,7,,,2,0
,,,,,,,,,,,,,,,,
